,p1,matches_played_p1,avg_gs_p1,avg_gc_p1,form_p1,winper_p1,lossper_p1,drawper_p1,l5avg_gs_p1,l5avg_gc_p1,p2,matches_played_p2,avg_gs_p2,avg_gc_p2,form_p2,winper_p2,lossper_p2,drawper_p2,l5avg_gs_p2,l5avg_gc_p2,winner
57,1,25,0.96,2.36,7,0.12,0.64,0.24,4,16,2,21,2.81,0.95,7,0.76,0.1,0.14,15,5,0
58,2,22,2.82,0.95,11,0.77,0.09,0.14,16,3,5,19,1.79,1.21,11,0.42,0.37,0.21,12,7,1
59,3,23,1.61,1.48,11,0.35,0.39,0.26,11,6,5,20,1.75,1.15,11,0.45,0.35,0.2,10,6,0
60,3,24,1.62,1.46,13,0.38,0.38,0.25,10,5,5,21,1.71,1.19,13,0.43,0.38,0.19,8,7,1
61,1,26,0.92,2.31,7,0.12,0.65,0.23,2,15,4,21,1.62,1.0,7,0.52,0.14,0.33,10,2,0
62,5,22,1.73,1.18,15,0.45,0.36,0.18,9,6,4,22,1.59,1.05,15,0.5,0.18,0.32,9,4,1
63,5,23,1.7,1.26,15,0.43,0.39,0.17,6,9,4,23,1.65,1.04,15,0.52,0.17,0.3,9,5,0
64,4,24,1.62,1.04,11,0.5,0.17,0.33,7,5,5,24,1.67,1.25,11,0.42,0.38,0.21,6,7,2
65,2,23,2.83,1.0,11,0.78,0.09,0.13,16,5,5,25,1.68,1.32,11,0.4,0.4,0.2,7,10,1
66,2,24,2.71,1.04,11,0.75,0.12,0.12,13,6,5,26,1.69,1.27,11,0.42,0.38,0.19,8,8,0
67,4,25,1.56,1.12,11,0.48,0.2,0.32,6,7,2,25,2.72,1.0,11,0.76,0.12,0.12,15,5,0
68,3,25,1.6,1.44,11,0.36,0.36,0.28,9,4,2,26,2.65,1.0,11,0.73,0.12,0.15,10,6,2
